"Год","Регион","Всего регистраций","0-13","14-17","18-24","25-35","36-55","55+"
2025,Воронежская область,14280,835,6447,2770,1308,2305,617
2025,Донецкая Народная Республика,7491,159,2720,2565,734,1107,208
2025,Еврейская автономная область,1117,88,440,259,107,181,42
2025,Забайкальский край,10298,577,2704,1878,1630,2522,989
2025,Запорожская область,1792,43,706,544,198,271,30
2025,Ивановская область,7436,342,3295,2091,504,893,312
2025,Иркутская область,19782,1166,8000,3679,1838,3506,1594
2025,Кабардино-Балкарская Республика,5910,265,3788,1263,263,290,41
2025,Калининградская область,9770,1259,3878,1824,771,1424,614
2025,Калужская область,6213,338,2541,1357,611,1144,223
2025,Камчатский край,2049,123,892,340,202,359,133
2025,Карачаево-Черкесская Республика,2622,84,1573,568,134,226,37
2025,Кемеровская область - Кузбасс,20772,1186,10632,4459,1367,2539,590
2025,Кировская область,7918,526,3862,1432,547,1234,317
2025,Костромская область,3216,110,1611,685,225,459,126
2025,Краснодарский край,49903,2558,21192,10488,4754,8486,2431
2025,Красноярский край,25872,1037,9310,5098,3076,5284,2076
2025,Курганская область,6300,525,3182,1258,404,713,218
2025,Курская область,8065,324,3442,2269,628,1178,226
2025,Ленинградская область,10941,897,4965,1580,1014,1945,541
2025,Липецкая область,9637,1097,4328,1507,725,1510,471
2025,Луганская Народная Республика,7200,230,2769,2671,571,805,154
2025,Магаданская область,1191,52,479,209,150,261,41
2025,Москва,435247,14436,185483,121159,47633,55412,11211
2025,Московская область,23221,1229,10985,3475,1974,4442,1118
2025,Мурманская область,5572,519,1858,795,661,1442,297
2025,Ненецкий автономный округ,345,51,95,48,47,89,15
2025,Нижегородская область,29266,3597,12798,4603,2522,4955,792
2025,Новгородская область,4550,379,2127,866,356,682,140
2025,Новосибирская область,24052,1235,9892,7093,1861,3131,840
2025,Омская область,12001,447,3075,3345,1181,3100,853
2025,Оренбургская область,14218,1289,6436,2408,1118,2178,791
2025,Орловская область,6396,259,3089,1776,422,746,105
2025,Пензенская область,11902,1068,5622,2613,814,1503,284
2025,Пермский край,21104,1130,7741,4752,2103,4102,1278
2025,Приморский край,13294,715,5552,3808,1031,1631,560
2025,Псковская область,3832,203,1606,1031,327,557,109
2025,Республика Адыгея,3203,445,1177,552,259,528,245
2025,Республика Алтай,2821,145,1324,356,221,412,363
2025,Республика Башкортостан,31112,1052,13632,6979,2633,5289,1536
2025,Республика Бурятия,11515,927,6464,1992,708,1102,322
2025,Республика Дагестан,16779,1168,10217,3014,971,1234,176
2025,Республика Ингушетия,4947,243,3106,846,288,369,95
